GEO.id,GEO.id2,GEO.display-label,B25034_001E,B25034_001M,B25034_002E,B25034_002M,B25034_003E,B25034_003M,B25034_004E,B25034_004M,B25034_005E,B25034_005M,B25034_006E,B25034_006M,B25034_007E,B25034_007M,B25034_008E,B25034_008M,B25034_009E,B25034_009M,B25034_010E,B25034_010M
Id,Id2,Geography,Estimate!!Total,Margin of Error!!Total,Estimate!!Total!!Built 2010 or later,Margin of Error!!Total!!Built 2010 or later,Estimate!!Total!!Built 2000 to 2009,Margin of Error!!Total!!Built 2000 to 2009,Estimate!!Total!!Built 1990 to 1999,Margin of Error!!Total!!Built 1990 to 1999,Estimate!!Total!!Built 1980 to 1989,Margin of Error!!Total!!Built 1980 to 1989,Estimate!!Total!!Built 1970 to 1979,Margin of Error!!Total!!Built 1970 to 1979,Estimate!!Total!!Built 1960 to 1969,Margin of Error!!Total!!Built 1960 to 1969,Estimate!!Total!!Built 1950 to 1959,Margin of Error!!Total!!Built 1950 to 1959,Estimate!!Total!!Built 1940 to 1949,Margin of Error!!Total!!Built 1940 to 1949,Estimate!!Total!!Built 1939 or earlier,Margin of Error!!Total!!Built 1939 or earlier
0600000US0900987560,0900987560,"Wolcott town, New Haven County, Connecticut",6139,269,18,30,698,164,781,157,638,158,559,150,1075,209,1499,233,370,139,501,142
0600000US0900987700,0900987700,"Woodbridge town, New Haven County, Connecticut",3222,189,0,17,241,113,418,119,301,133,455,123,614,164,486,130,143,77,564,150
0600000US0901100000,0901100000,"County subdivisions not defined, New London County, Connecticut",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
0600000US0901106820,0901106820,"Bozrah town, New London County, Connecticut",1109,76,6,10,106,33,123,36,130,41,147,54,219,67,125,48,34,20,219,59
0600000US0901115910,0901115910,"Colchester town, New London County, Connecticut",6268,244,49,33,735,145,1331,220,1271,218,1027,234,611,165,476,114,150,74,618,243
0600000US0901123400,0901123400,"East Lyme town, New London County, Connecticut",8303,219,23,16,981,158,898,134,1097,167,1263,166,1149,180,995,176,340,109,1557,238
0600000US0901129910,0901129910,"Franklin town, New London County, Connecticut",782,39,12,6,67,20,82,30,134,32,119,26,107,39,91,25,38,16,132,43
0600000US0901133900,0901133900,"Griswold town, New London County, Connecticut",4929,282,0,19,599,190,640,171,850,187,885,216,503,157,359,132,231,110,862,190
0600000US0901134250,0901134250,"Groton town, New London County, Connecticut",18348,475,129,84,2348,328,2041,269,2623,318,2742,333,2564,365,1916,262,962,180,3023,289
0600000US0901142390,0901142390,"Lebanon town, New London County, Connecticut",3151,161,0,17,352,118,309,104,570,159,524,157,415,127,449,162,49,37,483,150
